"behavior","MouseID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","NetworkFilename"
"Leg_splaying","007647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"007647_B6J_F_40mg-kg.avi"
"Leg_splaying","007648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"007648_B6J_F_40mg-kg.avi"
"Leg_splaying","007649",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"007649_B6J_F_40mg-kg.avi"
"Leg_splaying","007650",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"007650_B6J_F_40mg-kg.avi"
"Leg_splaying","007651",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"007651_B6J_F_40mg-kg.avi"
"Leg_splaying","007652",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"007652_B6J_F_40mg-kg.avi"
"Leg_splaying","007653",1.03333333333333,15.8,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007653_B6J_F_60mg-kg.avi"
"Leg_splaying","007654",0,0,1.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007654_B6J_F_60mg-kg.avi"
"Leg_splaying","007656",0,0,46.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007656_B6J_F_60mg-kg.avi"
"Leg_splaying","007657",0,24.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007657_B6J_F_60mg-kg.avi"
"Leg_splaying","007658",0,0,8.8,2.96666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007658_B6J_F_60mg-kg PTZ.avi"
"Leg_splaying","007659",4.23333333333333,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007659_B6J_F_80mg-kg_.avi"
"Leg_splaying","007660",31.7666666666667,2.73333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007660_B6J_F_80mg-kg_.avi"
"Leg_splaying","007661",27.2,25.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007661_B6J_F_80mg-kg_.avi"
"Leg_splaying","007662",0,9.03333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007662_B6J_F_80mg-kg_called_7762.avi"
"Leg_splaying","007663",24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007663_B6J_F_80mg-kg_called_7763.avi"
"Leg_splaying","007664",0,5.16666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007664_B6J_F_80mg-kg_called_7764.avi"
"Leg_splaying","007665",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007665_B6J_F_vehicle_.avi"
"Leg_splaying","007666",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007666_B6J_F_vehicle_.avi"
"Leg_splaying","007667",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"007667_B6J_F_vehicle_.avi"
"Leg_splaying","007668",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"007668_B6J_F_vehicle_.avi"
"Leg_splaying","007669",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007669_B6J_F_vehicle_.avi"
"Leg_splaying","007670",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007670_B6J_F_vehicle_.avi"
"Leg_splaying","007671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"007671_B6J_M_40mg-kg_.avi"
"Leg_splaying","007672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"007672_B6J_M_40mg-kg_.avi"
"Leg_splaying","007673",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"007673_B6J_M_40mg-kg_.avi"
"Leg_splaying","007674",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007674_B6J_M_40mg-kg_.avi"
"Leg_splaying","007675",0,0,0,0,0,0,32.3666666666667,60,5.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007675 B6J M 40mg-kg NV5_2022-03-22_11-01-39.avi"
"Leg_splaying","007676",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007676 B6J M 40 mg-kgNV10 or NV11 video_recording_2022-03-22_11-03-40.avi"
"Leg_splaying","007677",0.6,0,0,2.43333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007677_B6J_M_60mg-kg_.avi"
"Leg_splaying","007679",0,13.3333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007679_B6J_M_60mg-kg_.avi"
