NetworkFilename,MouseID,highscore,NetworkFilename_corrected,Dosereal,Strain,Sex,Score,seizure,AM,MS,AvgScore,circle_num_bouts,f2_distance_cm,f2_center_time_secs,f2_periphery_time_secs,f2_corner_time_secs,f2_center_distance_cm,f2_periphery_distance_cm,f2_corner_distance_cm,f2_grooming_number_bouts,f2_grooming_duration_secs,freeze_avg_bout_lens,freeze_num_bouts,freeze_first_bout,freeze_time_sec,leg_splaying_avg_bout_lens,leg_splaying_num_bouts,leg_splaying_first_bout,leg_splaying_time_sec,side_seizure_avg_bout_lens,side_seizure_num_bouts,side_seizure_first_bout,side_seizure_time_sec,straub_tail_avg_bout_lens,straub_tail_num_bouts,straub_tail_first_bout,straub_tail_time_sec,wild_jumping_avg_bout_lens,wild_jumping_num_bouts,wild_jumping_first_bout,wild_jumping_time_sec,freeze_behavior_proportion,straub_tail_behavior_proportion,leg_splaying_behavior_proportion,side_seizure_behavior_proportion,wild_jumping_behavior_proportion
007675 B6J M 40mg-kg NV5_2022-03-22_11-01-39.avi,007675,6,007675 B6J M 40mg-kg NV5_2022-03-22_11-01-39.avi,40,B6J,M,1--6,High,6,6,6,0,606.527,0.833334,59.1667,35.3667,19.6114,586.915,243.809,0,0,5.14444444444444,9,194.033333333333,46.3,32.7222222222222,3,424.9,98.1666666666667,16.7333333333333,1,408.133333333333,16.7333333333333,0.208333333333333,8,249.966666666667,1.66666666666667,NA,0,0,0,0.0887823585810163,0.0031735956839098745,0.1869247857822913,0.03186290066645501,0
007700_B6NJ_F_40mg-kg_called B6J.avi,007700,6,007700_B6NJ_F_40mg-kg_called B6J.avi,40,B6NJ,F,1; 6,High,6,6,6,0,240.1425,0,60.0331,51.4165,0,240.1425,127.735,0,0,6.2,4,227.966666666667,24.8,1.16666666666667,2,563.233333333333,2.33333333333333,8.16666666666667,1,560.933333333333,8.16666666666667,NA,0,0,0,NA,0,0,0,0.04145077720207254,0,0.0038908343060419038,0.013615649660998116,0
007723 B6NJ M 40 mg-kg NV9_2022-03-22_12-00-00 maybe part 2.avi,007723,6,007723 B6NJ M 40 mg-kg NV9_2022-03-22_12-00-00 maybe part 2.avi,40,B6NJ,M,6,High,6,6,6,0,239.506,3.55,56.46665,47.15,40.42815,199.078,109.989,0,0,4.73148148148148,18,114.766666666667,85.1666666666667,6.35833333333333,4,95.7,25.4333333333333,0.653333333333333,5,122.566666666667,3.26666666666667,0.455555555555556,3,88.1333333333333,1.36666666666667,NA,0,0,0,0.2970930232558137,0.004767441860465122,0.08872093023255792,0.0113953488372093,0
007720 B6NJ M 40 mg-kg NV9_2022-03-22_11-03-10.avi,007720,7,007720 B6NJ M 40 mg-kg NV9_2022-03-22_11-03-10.avi,40,B6NJ,M,7,High,7,6,6,0,115.484,1.216665,58.78335,53.55,6.2575,109.2265,80.3646,0,0,6.16,5,205.6,30.8,3.11111111111111,3,166.266666666667,9.33333333333333,1.6,1,160.7,1.6,0.255555555555556,3,157.6,0.766666666666667,NA,0,0,0,0.1735211267605634,0.0042568943179715,0.051823061262261695,0.008883953359244865,0
007654_B6J_F_60mg-kg.avi,007654,6,007654_B6J_F_60mg-kg.avi,60,B6J,F,"4, 6",High,6,7,6,0,388.084,4.749985,55.28315,27.8166,39.369,348.715,135.15035,0,0,3.7,1,175.6,3.7,1.9,1,197.1,1.9,3.56666666666667,2,188.8,7.13333333333333,0.377777777777778,15,79.3,5.66666666666667,0.566666666666667,1,184.166666666667,0.566666666666667,0.022195560887822437,0.033510743150009875,0.011235955056179775,0.042184111965306505,0.0033510743150009874
007658_B6J_F_60mg-kg PTZ.avi,007658,6,007658_B6J_F_60mg-kg PTZ.avi,60,B6J,F,6,High,6,5,6,0,325.554,0,60.0331,43.6832,0,325.554,151.8725,0,0,3.13333333333333,1,235.4,3.13333333333333,3.92222222222222,3,198.533333333333,11.7666666666667,0.633333333333333,1,84.3666666666667,0.633333333333333,0.296969696969697,11,163.566666666667,3.26666666666667,NA,0,0,0,0.014141718068301454,0.014626865671641828,0.052686567164179327,0.002835820895522391,0
007653_B6J_F_60mg-kg.avi,007653,7,007653_B6J_F_60mg-kg.avi,60,B6J,F,"5, 7",High,7,7,7,0,288.4,3.74999,56.28315,47.099850000000004,23.1844,265.2155,143.873,0,0,3.41666666666667,2,157.533333333333,6.83333333333333,2.54761904761905,7,91.5666666666667,17.8333333333333,2.34444444444444,3,115.733333333333,7.03333333333333,0.393333333333333,15,75.4333333333333,5.9,0.744444444444444,3,114.6,2.23333333333333,0.03637331440738104,0.030391483516483568,0.09186126373626372,0.03626052586355036,0.011514005842928299
007677_B6J_M_60mg-kg_.avi,007677,7,007677_B6J_M_60mg-kg_.avi,60,B6J,M,"3,4-7",High,7,7,7,0,305.91,0.78333,59.2498,42.71655,10.46775,295.442,135.792,0,0,4.32666666666667,5,174.4,21.6333333333333,0.758333333333333,4,59.7333333333333,3.03333333333333,1.35,2,208.8,2.7,0.769047619047619,14,164.966666666667,10.7666666666667,2.53333333333333,1,240.566666666667,2.53333333333333,0.100792048454729,0.05000000000000023,0.014086687306501556,0.012538699690402498,0.011764705882352944
007679_B6J_M_60mg-kg_.avi,007679,7,007679_B6J_M_60mg-kg_.avi,60,B6J,M,"1, 7",High,7,6,6,0,260.244,0,60.0331,45.599850000000004,0,260.244,120.6745,0,0,7.27777777777778,3,200.4,21.8333333333333,3.33333333333333,4,141.466666666667,13.3333333333333,2.7,3,205.733333333333,8.1,0.344444444444444,6,139.866666666667,2.06666666666667,NA,0,0,0,0.12206485277674205,0.011475106422357969,0.07403294466037369,0.044975013881177126,0
007680_B6J_M_60mg-kg_.avi,007680,7,007680_B6J_M_60mg-kg_.avi,60,B6J,M,4--7,High,7,5,6,0,419.3205,1.1999975,58.83315,42.4832,15.2548,404.0655,169.983,0,0,4.66153846153846,13,140.933333333333,60.6,2.32857142857143,7,325.733333333333,16.3,0.7,1,175.966666666667,0.7,0.366666666666667,30,271.033333333333,11,NA,0,0,0,0.14751703992210322,0.024661833943651464,0.036544353934683534,0.0015693894327778203,0
